"Stay At Home Order","State-Mandated School Closures","Non-Essential Business Closures","start_date","b1","initial.infected","loss"
0.85,0.2,0.35,2020-02-28,0.5,3,3.62162311526729
0.86,0.2,0.35,2020-02-28,0.5,3,3.66674790185502
0.87,0.2,0.35,2020-02-28,0.5,3,3.71092751193704
0.88,0.2,0.35,2020-02-28,0.5,3,3.75398760212926
0.89,0.2,0.35,2020-02-28,0.5,3,3.79569335951951
0.9,0.2,0.35,2020-02-28,0.5,3,3.83583752633859
0.91,0.2,0.35,2020-02-28,0.5,3,3.87417172343281
0.92,0.2,0.35,2020-02-28,0.5,3,3.91083189807174
0.93,0.2,0.35,2020-02-28,0.5,3,3.9461488627799
0.94,0.2,0.35,2020-02-28,0.5,3,3.97988940233936
0.95,0.2,0.35,2020-02-28,0.5,3,4.0117874222899
0.55,0.3,0.35,2020-02-28,0.5,3,3.86159561204037
0.56,0.3,0.35,2020-02-28,0.5,3,3.90115640202114
0.57,0.3,0.35,2020-02-28,0.5,3,3.94004532691249
0.58,0.3,0.35,2020-02-28,0.5,3,3.97814211581254
0.59,0.3,0.35,2020-02-28,0.5,3,4.01531060794246
0.6,0.3,0.35,2020-02-28,0.5,3,4.05151204654659
0.61,0.3,0.35,2020-02-28,0.5,3,4.08710954395656
0.62,0.3,0.35,2020-02-28,0.5,3,4.12204753881654
0.63,0.3,0.35,2020-02-28,0.5,3,4.15621331089439
0.64,0.3,0.35,2020-02-28,0.5,3,4.18947577208219
0.65,0.3,0.35,2020-02-28,0.5,3,4.22171010016007
0.66,0.3,0.35,2020-02-28,0.5,3,4.25280114800121
0.67,0.3,0.35,2020-02-28,0.5,3,4.28259824957856
0.68,0.3,0.35,2020-02-28,0.5,3,4.31097535741253
0.69,0.3,0.35,2020-02-28,0.5,3,4.33777024348015
0.7,0.3,0.35,2020-02-28,0.5,3,4.36286968588027
0.71,0.3,0.35,2020-02-28,0.5,3,4.38606624771995
0.72,0.3,0.35,2020-02-28,0.5,3,4.40725292073855
0.73,0.3,0.35,2020-02-28,0.5,3,4.4270763995016
0.74,0.3,0.35,2020-02-28,0.5,3,4.445635031422
0.75,0.3,0.35,2020-02-28,0.5,3,4.46279265741006
0.76,0.3,0.35,2020-02-28,0.5,3,4.47839433677958
0.77,0.3,0.35,2020-02-28,0.5,3,4.49227212329827
0.78,0.3,0.35,2020-02-28,0.5,3,4.50422477530364
0.79,0.3,0.35,2020-02-28,0.5,3,4.51403087823699
0.8,0.3,0.35,2020-02-28,0.5,3,4.52192181958325
0.81,0.3,0.35,2020-02-28,0.5,3,4.52961262444188
0.82,0.3,0.35,2020-02-28,0.5,3,4.53726190761334
0.83,0.3,0.35,2020-02-28,0.5,3,4.54487504987279
0.84,0.3,0.35,2020-02-28,0.5,3,4.55245214458368
0.85,0.3,0.35,2020-02-28,0.5,3,4.55999330853618
0.86,0.3,0.35,2020-02-28,0.5,3,4.56749865341849
0.87,0.3,0.35,2020-02-28,0.5,3,4.57496829454328
0.88,0.3,0.35,2020-02-28,0.5,3,4.58240234684782
0.89,0.3,0.35,2020-02-28,0.5,3,4.5898009258171
0.9,0.3,0.35,2020-02-28,0.5,3,4.59716414219257
0.91,0.3,0.35,2020-02-28,0.5,3,4.60449223898573
0.92,0.3,0.35,2020-02-28,0.5,3,4.61178510054375
0.93,0.3,0.35,2020-02-28,0.5,3,4.61904295600842
0.94,0.3,0.35,2020-02-28,0.5,3,4.62626592627523
0.95,0.3,0.35,2020-02-28,0.5,3,4.63345413110854
0.55,0.1,0.4,2020-02-28,0.5,3,6.57174901034281
0.56,0.1,0.4,2020-02-28,0.5,3,6.2744425054768
0.57,0.1,0.4,2020-02-28,0.5,3,5.99307225557394
0.58,0.1,0.4,2020-02-28,0.5,3,5.7279516185449
0.59,0.1,0.4,2020-02-28,0.5,3,5.47921000187465
0.6,0.1,0.4,2020-02-28,0.5,3,5.24691538483644
0.61,0.1,0.4,2020-02-28,0.5,3,5.0310803604142
0.62,0.1,0.4,2020-02-28,0.5,3,4.8315821661032
0.63,0.1,0.4,2020-02-28,0.5,3,4.64809923988132
0.64,0.1,0.4,2020-02-28,0.5,3,4.47989012424097
0.65,0.1,0.4,2020-02-28,0.5,3,4.32571898910917
0.66,0.1,0.4,2020-02-28,0.5,3,4.18390749973379
0.67,0.1,0.4,2020-02-28,0.5,3,4.05299664115763
0.68,0.1,0.4,2020-02-28,0.5,3,3.93069007213086
0.69,0.1,0.4,2020-02-28,0.5,3,3.81341351865682
0.7,0.1,0.4,2020-02-28,0.5,3,3.69939977500624
0.71,0.1,0.4,2020-02-28,0.5,3,3.58881439724867
0.72,0.1,0.4,2020-02-28,0.5,3,3.48181953790677
0.73,0.1,0.4,2020-02-28,0.5,3,3.37860671745998
0.74,0.1,0.4,2020-02-28,0.5,3,3.27934872088728
0.75,0.1,0.4,2020-02-28,0.5,3,3.18426239612631
0.76,0.1,0.4,2020-02-28,0.5,3,3.09354783820252
0.77,0.1,0.4,2020-02-28,0.5,3,3.00743580256988
0.78,0.1,0.4,2020-02-28,0.5,3,2.92613386171543
0.79,0.1,0.4,2020-02-28,0.5,3,2.84988329759043
0.8,0.1,0.4,2020-02-28,0.5,3,2.77890599476854
